Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C44,220nF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,282.0225,-58.241667,0.0,top
C45,8.2nF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,282.0225,-60.321667,180.0,top
C46,150pF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,242.7525,-68.911667,0.0,top
C47,10uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,246.1225,-68.001667,-90.0,top
C48,100nF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,303.5425,-58.684167,180.0,top
C49,3.9nF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,303.5125,-60.754167,0.0,top
C5,10uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,68.255,-52.315,-90.0,top
C50,47nF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,303.4925,-73.274167,180.0,top
C51,2.2nF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,303.4925,-71.204167,0.0,top
C52,27nF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,326.4025,-73.194167,0.0,top
C53,1nF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,326.4025,-71.114167,180.0,top
C54,12nF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,326.4625,-58.494167,0.0,top
C55,560pF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,326.4625,-60.614167,180.0,top
C56,6.8nF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,344.1925,-58.361667,180.0,top
C57,270pF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,344.2225,-60.451667,0.0,top
C58,3.3nF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,344.2425,-73.001667,180.0,top
C59,150pF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,344.2425,-70.931667,0.0,top
C6,1.5uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,84.48,-58.391667,180.0,top
C60,100nF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,95.7375,-65.641667,0.0,top
C61,100nF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,270.6725,-65.606667,0.0,top
C62,100nF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,314.9625,-65.879167,0.0,top
C63,100nF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,60.1,-58.9525,90.0,top
C64,100nF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,355.5625,-65.606667,0.0,top
C65,100nF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,170.1575,-65.606667,0.0,top
C66,100nF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,133.3825,-65.611667,0.0,top
C67,100nF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,239.4525,-60.901667,90.0,top
C68,150pF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,60.54,-71.881667,90.0,top
C7,68nF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,84.48,-60.511667,0.0,top
C8,10uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,50.96,-67.451667,90.0,top
C9,820nF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,84.5975,-73.011667,180.0,top
D13,1N4148,D_SOD-123,206.47,-114.574167,-90.0,top
D14,1N4148,D_SOD-123,214.29,-73.0,0.0,top
D16,1N4148,D_SOD-123,206.47,-109.386388,-90.0,top
D18,1N4148,D_SOD-123,206.47,-104.198611,-90.0,top
D2,1N4148,D_SOD-123,204.0,-114.528333,-90.0,top
D20,1N4148,D_SOD-123,206.47,-99.010834,-90.0,top
D3,1N4148,D_SOD-123,199.94,-72.99,0.0,top
D5,1N4148,D_SOD-123,204.0,-109.352222,-90.0,top
D7,1N4148,D_SOD-123,204.0,-104.176111,-90.0,top
D9,1N4148,D_SOD-123,204.0,-99.0,-90.0,top
J7,Conn_01x04,JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical,128.88,-47.5,0.0,top
Q1,2N2222AU,SOT-89-3_L4.5-W2.4-P1.50-LS4.0-BR,194.099072,-78.27995,0.0,top
Q2,2N2222AU,SOT-89-3_L4.5-W2.4-P1.50-LS4.0-BR,207.81,-78.27995,0.0,top
Q4,2N2222AU,SOT-89-3_L4.5-W2.4-P1.50-LS4.0-BR,63.915511,-43.219873,0.0,top
R10,15K,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,51.77,-60.271667,0.0,top
R11,1M,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,51.8,-62.371667,0.0,top
R12,1K,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,88.4575,-72.131667,0.0,top
R13,220K,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,107.0775,-68.481667,180.0,top
R14,10K,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,59.54,-68.891667,0.0,top
R15,1K,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,103.0675,-72.151667,180.0,top
R16,220K,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,106.9675,-62.731667,180.0,top
R17,10K,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,62.68,-65.141667,90.0,top
R18,1K,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,103.0675,-59.431667,180.0,top
R19,100R,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,64.68,-65.151667,90.0,top
R20,1M,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,68.85,-67.261667,-90.0,top
R21,220K,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,121.8225,-62.621667,0.0,top
R22,1K,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,125.9125,-59.361667,0.0,top
R23,220K,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,121.8025,-68.751667,0.0,top
R24,1K,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,125.8725,-71.921667,0.0,top
R25,220K,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,145.0225,-68.981667,180.0,top
R26,1K,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,140.9925,-71.921667,180.0,top
R27,220K,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,144.8625,-62.701667,180.0,top
R28,1K,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,140.9125,-59.331667,180.0,top
R29,220K,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,158.7625,-62.741667,0.0,top
R3,680K,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,60.045,-42.285,-90.0,top
R30,1K,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,162.6625,-59.361667,0.0,top
R31,220K,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,158.7725,-68.761667,0.0,top
R32,1K,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,162.6425,-71.941667,0.0,top
